CPB/ROE,Título,Dias em exibição,Semanas em exibição,Sessões,Salas,Complexos,Grupos exibidores,Exibidores,Municípios,UFs,Máx. salas,Fontes,Última sessão registrada,ClassInd,Comentários,Ano de estreia,Estreia,Bilheteria,Público,Distribuidora,Ocupação Média,P.M.I.
E1500054100000,Vidas Ao Vento,,,,2,,5,12,31,16,34,Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024) // Database Brasil - FilmeB,10/1/2025,12,,2014,2/28/2014,271617.57,22174,Califórnia,,12.24937179
E2500300100000,Princesa Mononoke,23,,225,,53,7,11,40,18,67,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br,2/28/2026,14,,2025,8/21/2025,336202.54,15062,Sato Company,66.94222222,22.32124153
E2400314500000,Look Back,,,1329,,115,24,37,79,25,157,Ancine - dados.gov.br // Ancine - dados.gov.br,10/30/2024,12,,2024,9/26/2024,,12707,Cinecolor,9.561324304,
E2500107900000,Colorful Stage! Uma Miku que não Sabe Cantar,31,,309,,81,20,32,63,23,102,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br,7/16/2025,10,,2025,6/5/2025,265095.47,12131,Cinecolor,39.25889968,21.8527302
E1700465900000,Por que Vivemos,21,10,882,18,20,3,10,13,10,40,Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024) // Database Brasil - FilmeB,1/24/2018,12,,2017,11/23/2017,122710.78,10207,Espaço Filmes,11.57256236,12.02221809
E1500377100000,O Conto Da Princesa Kaguya,2,12,281,8,31,7,14,28,11,31,Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024) // Database Brasil - FilmeB,2/24/2026,L,,2015,7/16/2015,106187.52,9124,Califórnia,32.46975089,11.63826392
E2500094700000,Kaiju no. 8: Missão de Reconhecimento,14,,1734,,132,15,25,79,26,167,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br,4/23/2025,16,,2025,4/10/2025,184900.63,9106,Sony Pictures,5.251441753,20.3053624
E2500317200000,Jujutsu Kaisen: Hidden Inventory/Premature Death,14,,190,,20,1,1,15,12,23,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br,8/27/2025,16,,2025,8/14/2025,174779.04,7659,Sony Pictures,40.31052632,22.82008617
E2400447100000,Interstella 5555,,,74,,18,5,5,11,8,22,Ancine - dados.gov.br // Ancine - dados.gov.br,12/15/2024,14,,2024,12/12/2024,,7365,Trafalgar,99.52702703,
E2200036300000,Sword Art Online Progressive: Ária de uma Noite sem Estrelas,29,5,796,41,41,10,11,17,13,63,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024),4/24/2022,12,,2022,3/10/2022,147207.32,7205,Sony Pictures,9.051507538,20.43127273
E2000128600000,O Tempo Com Você,28,4,1179,87,86,4,4,42,18,120,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024),1/27/2021,12,,2020,12/31/2020,81038.9,7003,Cinecolor,5.939779474,11.57202627
E2500218900000,Dan Da Dan: Evil Eye,7,,63,,20,1,1,16,11,20,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br,6/25/2025,16,,2025,6/19/2025,156299.93,6448,Paris Filmes,102.3492063,24.24006359
E2300393900000,Meu Amigo Totoro,19,,119,,39,4,14,36,16,49,Ancine - Painel OCA // Ancine - dados.gov.br,2/27/2026,L,,2025,9/18/2025,92832.76,5867,,49.30252101,15.82286688
E2400213300000,Blue Lock: Episódio Nagi,14,2,503,33,32,1,1,23,12,46,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024),7/31/2024,12,,2024,7/18/2024,124909.62,5836,Sony Pictures,11.60238569,21.40329335
E2300261000000,The First Slam Dunk,38,8,558,80,96,11,15,45,22,101,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024),12/3/2023,12,,2023,8/3/2023,122331.21,5113,Cinecolor,9.163082437,23.92552513
E2100523100000,Belle,20,3,1624,136,121,20,29,59,23,146,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024),3/30/2022,12,,2022,1/27/2022,83727.78,5057,Paris Filmes,3.113916256,16.55680838
E1700054900000,Ghost in the Shell - O Fantasma do Futuro,,2,44,1,42,1,2,30,17,44,Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024),3/14/2017,14,,2017,3/8/2017,73990.99,4017,Cinemark,91.29545455,18.41946477
E2500359500000,Totto-Chan: A Menina na Janela,22,,536,,65,12,19,46,22,74,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br,11/9/2025,10,,2025,10/9/2025,55255.05,2950,Sato Company,5.503731343,18.73052542
E2400344900000,O Serviço de Entregas da Kiki,15,,28,,10,2,10,9,8,12,Ancine - Painel OCA // Ancine - dados.gov.br,2/27/2026,L,,2025,9/18/2025,37408.13,2946,,105.2142857,12.69793958
E2500436600000,Angel's Egg,48,,171,,11,7,9,9,7,15,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br,1/28/2026,10,,2025,11/19/2025,53569.15,2818,Sato Company,16.47953216,19.00963449
E1500800700000,As Memórias De Marnie,4,8,105,6,38,6,13,35,12,38,Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024) // Database Brasil - FilmeB,2/26/2026,10,,2015,11/19/2015,40704.47,2756,Califórnia,26.24761905,14.76940131
E2400378500000,Overlord: O Reino Sagrado,10,2,138,18,17,8,8,14,9,20,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024),11/16/2024,16,,2024,11/7/2024,54806.19,2202,Sony Pictures,15.95652174,24.88927793
E2300174500000,Sword Art Online Progressive: Scherzo Do Crepúsculo Sombrio,14,2,388,37,37,10,16,22,13,42,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024),6/7/2023,12,,2023,5/25/2023,40198.63,2029,Sony Pictures,5.229381443,19.81204041
X07,Cowboy Bebop: o Filme,,,,,,,,,,2,Database Brasil - FilmeB,,,,2003,11/28/2003,14670,1888,,,7.770127119
E2600005700000,Você Só Precisa Matar,13,,399,,35,9,9,24,17,43,Ancine - Painel OCA // Ancine - dados.gov.br,2/24/2026,14,,2026,2/12/2026,32624.45,1507,,3.776942356,21.6486065
E2400345000000,Sussurros do Coração,4,,36,,33,2,10,30,13,33,Ancine - Painel OCA // Ancine - dados.gov.br,10/11/2025,L,,2025,9/23/2025,18245,1219,,33.86111111,14.96718622
E1800192300000,Mazinger Z - Infinity,14,2,451,20,20,1,2,16,12,33,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024) // Database Brasil - FilmeB,6/20/2018,12,,2018,6/20/2018,12689,805,Diamond Films,1.784922395,15.76273292
E2200127100000,Odd Taxi: In The Woods,2,1,22,11,11,1,1,8,6,11,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024),6/26/2022,14,,2022,6/25/2022,13899,564,Sony Pictures,25.63636364,24.64361702
E2500359600000,Detetive Conan: O Pentagrama De Milhões De Dólares,7,,148,,17,5,8,14,11,17,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br,10/22/2025,14,,2025,10/16/2025,6663.12,345,Sato Company,2.331081081,19.3133913
E2100105900000,Fate/Stay Night: Heaven's Feel - Parte 3,7,1,182,28,28,3,3,18,7,28,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024),5/12/2021,14,,2021,5/6/2021,5543,321,Cinecolor,1.763736264,17.26791277
E2400345400000,O Reino Dos Gatos,4,,35,,33,3,8,30,10,33,Ancine - Painel OCA // Ancine - dados.gov.br,2/26/2026,L,,2026,2/24/2026,4605.72,303,,8.657142857,15.20039604
E2500436400000,Make A Girl,13,,62,,6,5,6,6,6,8,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br,12/23/2025,12,,2025,12/11/2025,1593.24,82,Sato Company,1.322580645,19.4297561
E2000353400000,Promare,,,,,,,,,,,,,,Anunciado porém nunca lançado,,,,,Konnichiwa Festival,,
E2000394400000,Human Lost,,,,,,,,,,,,,,https://www.jbox.com.br/2020/01/31/human-lost-filme-que-adapta-um-dos-maiores-classicos-da-literatura-japonesa-tem-pre-estreia-gratuita-em-sao-paulo/,2020,1/31/2020,,,Sato Company,,
X03,Dragon Ball Z: O Filme,,,,,,,,,,,,,,,2000,7/14/2000,,,,,
X05,Dragon Ball Z: Batalha nos Dois Mundos,,,,,,,,,,,,,,,2002,1/17/2002,,,Paris Filmes,,
