CPB/ROE,Ano,Bilheteria total,Dias no ano,Sessões no ano,Máx. complexos,Máx. grupos exibidores,Máx. exibidores,Máx. municípios,Máx. UFs,Última sessão registrada,Público total,Semanas em exibição,Gênero,Países,Salas na estreia,Título,Estreia,Máx. salas,Público no ano,Bilheteria no ano,Distribuidora,Fontes
E2300393900000,2025,72475.0,12.0,51.0,37.0,2.0,13.0,34.0,16.0,2025-10-14,5838.0,,,,,MEU AMIGO TOTORO,2025-09-18,40.0,4497.0,72475.0,,Ancine - Painel OCA // Ancine - dados.gov.br
E2300393900000,2026,92832.76,7.0,68.0,39.0,4.0,14.0,36.0,12.0,2026-02-27,5867.0,,,,,MEU AMIGO TOTORO,2026-02-19,49.0,1370.0,20357.76,,Ancine - Painel OCA // Ancine - dados.gov.br
E2300467700000,2023,552350.63,24.0,6056.0,362.0,37.0,101.0,188.0,26.0,2023-12-27,30084.0,5.0,Animação,Japão,415.0,DIGIMON ADVENTURE 02: THE BEGINNING,2023-11-30,543.0,30084.0,552350.63,Paris Filmes,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024)
E2300467700000,2024,,,1.0,1.0,0.0,1.0,1.0,1.0,2024-01-03,29877.0,,,,,,2024-01-03,1.0,0.0,,,Ancine - dados.gov.br
E2400004400000,2024,7359686.66,113.0,14718.0,458.0,52.0,175.0,262.0,27.0,2024-10-23,445461.0,18.0,Animação,Japão,79.0,O MENINO E A GARÇA,2024-02-22,1120.0,445461.0,7359686.66,Sato Company,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024)
E2400015400000,2024,1595688.33,31.0,6922.0,355.0,27.0,73.0,155.0,27.0,2024-07-24,80801.0,6.0,Animação,Japão,522.0,SPY X FAMILY CÓDIGO: BRANCO,2024-04-25,652.0,80801.0,1595688.33,Sony Pictures,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024)
E2400016700000,2024,5427026.86,35.0,16937.0,515.0,43.0,150.0,277.0,27.0,2024-04-07,394073.0,5.0,Animação,Japão,583.0,DEMON SLAYER: KIMETSU NO YAIBA – TO THE HASHIRA TRAINING,2024-02-22,1156.0,394073.0,5429809.86,Sony Pictures,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024)
E2400016700000,2025,5427026.86,7.0,9.0,470.0,1.0,1.0,1.0,1.0,2025-10-01,393067.0,,,,,DEMON SLAYER: KIMETSU NO YAIBA – TO THE HASHIRA TRAINING,2025-09-25,582.0,62.0,1180.0,,Ancine - Painel OCA // Ancine - dados.gov.br
E2400160000000,2024,2153185.16,29.0,3834.0,165.0,24.0,58.0,102.0,27.0,2024-07-20,116149.0,5.0,Animação,Japão,195.0,HAIKYU!! THE DUMPSTER BATTLE,2024-05-30,351.0,116149.0,2153185.16,Sony Pictures,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024)
E2400213300000,2024,124909.62,14.0,503.0,32.0,1.0,1.0,23.0,12.0,2024-07-31,5836.0,2.0,Animação,Japão,33.0,BLUE LOCK: O FILME - EPISÓDIO NAGI,2024-07-18,46.0,5836.0,124909.62,Sony Pictures,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024)
E2400314500000,2024,,,1329.0,115.0,24.0,37.0,79.0,25.0,2024-10-30,12707.0,,,,,,2024-09-26,157.0,12707.0,,Cinecolor,Ancine - dados.gov.br // Ancine - dados.gov.br
E2400344900000,2025,35389.93,10.0,23.0,10.0,2.0,10.0,9.0,8.0,2025-10-14,2881.0,,,,,O SERVIÇO DE ENTREGAS DA KIKI,2025-09-18,12.0,2785.0,35389.93,,Ancine - Painel OCA // Ancine - dados.gov.br
E2400344900000,2026,37408.13,5.0,5.0,10.0,1.0,3.0,3.0,2.0,2026-02-27,2946.0,,,,,O SERVIÇO DE ENTREGAS DA KIKI,2026-02-19,11.0,161.0,2018.2,,Ancine - Painel OCA // Ancine - dados.gov.br
E2400345000000,2025,18245.0,4.0,36.0,33.0,2.0,10.0,30.0,13.0,2025-10-11,1219.0,,,,,SUSSURROS DO CORAÇÃO,2025-09-23,33.0,1219.0,18245.0,,Ancine - Painel OCA // Ancine - dados.gov.br
E2400345200000,2005,,,,,,,,,,,,,,,,2005-08-05,112.0,100737.0,691048.5,,Database Brasil - FilmeB
E2400345200000,2025,100009.0,13.0,64.0,36.0,2.0,12.0,33.0,16.0,2025-10-13,8924.0,,,,,O CASTELO ANIMADO,2025-09-19,47.0,6061.0,100009.0,,Ancine - Painel OCA // Ancine - dados.gov.br
E2400345200000,2026,144493.22,4.0,62.0,35.0,4.0,9.0,30.0,10.0,2026-02-28,9024.0,,,,,O CASTELO ANIMADO,2026-02-21,44.0,2963.0,44484.22,,Ancine - Painel OCA // Ancine - dados.gov.br
E2400345300000,2003,,,,,,,,,,,,,,,,2003-07-18,111.0,422813.0,2455772.6,,Database Brasil - FilmeB
E2400345300000,2025,126797.52,12.0,67.0,38.0,4.0,14.0,33.0,16.0,2025-10-15,8508.0,,,,,A VIAGEM DE CHIHIRO,2025-09-19,48.0,6792.0,126797.52,,Ancine - Painel OCA // Ancine - dados.gov.br
E2400345300000,2026,164584.51,6.0,64.0,35.0,4.0,11.0,31.0,11.0,2026-02-28,9394.0,,,,,A VIAGEM DE CHIHIRO,2026-02-20,35.0,2602.0,37786.99,,Ancine - Painel OCA // Ancine - dados.gov.br
E2400345400000,2026,4605.72,4.0,35.0,33.0,3.0,8.0,30.0,10.0,2026-02-26,303.0,,,,,O REINO DOS GATOS,2026-02-24,33.0,303.0,4605.72,,Ancine - Painel OCA // Ancine - dados.gov.br
E2400361600000,2024,415885.01,14.0,2966.0,199.0,22.0,40.0,97.0,27.0,2024-10-23,22324.0,2.0,Animação,Japão,225.0,MY HERO ACADEMIA - AGORA É A SUA VEZ,2024-10-10,257.0,22324.0,415885.01,Sony Pictures,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024)
E2400378500000,2024,54806.19,10.0,138.0,17.0,8.0,8.0,14.0,9.0,2024-11-16,2202.0,2.0,Animação,Japão,18.0,OVERLORD O REINO SAGRADO,2024-11-07,20.0,2202.0,54806.19,Sony Pictures,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024)
